quote_id,model_id,model,vendor,aggregator_id,aggregator,is_cheapest_for_model,ranked,usd_per_min_480p,usd_per_min_720p,usd_per_min_1080p,resolution_basis,usd_per_second_720p,fixed_usd_per_clip,clip_basis_seconds,max_clip_seconds,audio,audio_note,mode,raw_billing_text,promo_active,promo_kind,promo_label,promo_discount_pct,promo_ends_at,regular_usd_per_min_720p,endpoint_id,model_page_url,source_url,checked_at,method,confidence,verified_price,verified_comparability,needs_review,notes
h3turbo@fal,h3turbo,MiniMax H3 Max Turbo,MiniMax,fal,fal.ai,yes,yes,0.375,0.6,1.2,768p,0.01,0,15,15,Included,Included,image-to-video / text-to-video,USD per output second,yes,sale,75% launch sale,75,2026-09-14,2.4,minimax/h3-max-turbo/image-to-video,https://fal.ai/minimax-h3-max,https://fal.ai/minimax-h3-max,2026-09-13,sheet+research,high,ok,ok,no,768p replaces the 720p column. Regular 480p $0.025/s and 768p $0.04/s from Sep 15. Launch start and cutoff time zone not published.
h3turbo@atlas,h3turbo,MiniMax H3 Max Turbo,MiniMax,atlas,Atlas Cloud,no,yes,1.425,2.28,,768p,0.038,0,15,15,Included,Included,text-to-video / image-to-video (same price),USD per output second,yes,standing,5% vs official,5,,2.4,minimax/h3-max-turbo/text-to-video,https://www.atlascloud.ai/pricing/models,https://www.atlascloud.ai/pricing/models,2026-09-12,manual-sheet,high,,,no,"768p, not exact 720p. No published discount dates."
h3turbo@runware,h3turbo,MiniMax H3 Max Turbo,MiniMax,runware,Runware,no,yes,1.5,2.4,,768p,0.04,0,15,15,Included,Included,text/image-to-video,USD per output second,no,,,,,,minimax:h3@max-turbo,https://runware.ai/docs/models/minimax-h3-max-turbo,https://runware.ai/docs/models/minimax-h3-max-turbo,2026-09-13,sheet+research,high,,,no,"768p, not exact 720p."
pix@kie,pix,PixVerse V6,PixVerse,kie,Kie.ai,yes,yes,,2.88,5.52,720p,0.048,0,15,15,Included,Included,text-to-video / image-to-video (generate_audio_switch=true),9.6 credits/s; $0.005/credit,yes,standing,≈20% below official PixVerse pricing,20,,3.6,pixverse-v6/text-to-video,https://kie.ai/pixverse-v6,https://kie.ai/pixverse-v6,2026-09-13,sheet+research,high,ok,ok,no,Audio enabled. 540p exists but is not relabeled 480p. Added candidate; no project-specific quality test.
pix@atlas,pix,PixVerse V6,PixVerse,atlas,Atlas Cloud,no,yes,,3.6,,720p,0.06,0,15,15,Included,Included,text-to-video / image-to-video / start-end / reference,USD per output second,no,,,,,,pixverse/v6/text-to-video,https://www.atlascloud.ai/pricing/models,https://www.atlascloud.ai/pricing/models,2026-09-13,sheet+research,high,,,no,With audio. 540p is excluded from the 480p column.
pix@runware,pix,PixVerse V6,PixVerse,runware,Runware,no,yes,,3.6,6.9,720p,0.06,0,15,15,Included,Included,text/image/reference-to-video,USD per output second,no,,,,,,pixverse:1@8,https://runware.ai/docs/models/pixverse-v6,https://runware.ai/docs/models/pixverse-v6,2026-09-13,sheet+research,high,,,no,With audio. 540p is excluded from the 480p column.
pix@fal,pix,PixVerse V6,PixVerse,fal,fal.ai,no,yes,,3.6,6.9,720p,0.06,0,,15,Included,on (generate_audio_switch=true),image-to-video,"Billing is calculated per second of video generated. For 360p, your request will cost $0.025 per second without audio and $0.035 per second with audio. For 540p, it will cost $0.035 per second without audio and $0.045 per second with audio. For 720p, it will cost $0.045 per second without audio and $0.060 per second with audio. For 1080p, it will cost $0.090 per second without audio and $0.115 per second with audio.",no,,,,,,fal-ai/pixverse/v6/image-to-video,https://fal.ai/models/fal-ai/pixverse/v6/image-to-video,https://fal.ai/models/fal-ai/pixverse/v6/image-to-video,2026-09-13,research,high,,,no,Duration 1-15 s. Audio switch defaults to false.
pix@wavespeed,pix,PixVerse V6,PixVerse,wavespeed,WaveSpeedAI,no,yes,,3.6,6.9,720p,0.06,0,,15,Included,on (generate_audio_switch=true),image-to-video,"720p | Without Audio $0.045/s | With Audio $0.060/s (also 360p $0.025/$0.035, 540p $0.035/$0.045, 1080p $0.090/$0.115)",no,,,,,,pixverse/pixverse-v6/image-to-video,https://wavespeed.ai/models/pixverse/pixverse-v6/image-to-video,https://wavespeed.ai/models/pixverse/pixverse-v6/image-to-video,2026-09-13,research,high,,,no,Formula duration*base_price*(per-res/audio factor); discount_rate 100. Duration 1-15 s integer. 540p is a separate tier (not 480p).
pix@replicate,pix,PixVerse V6,PixVerse,replicate,Replicate,no,yes,,7.2,13.8,720p,0.12,0,,15,Included,on (with audio = True),text-to-video / image-to-video,"billingConfig tier '720p (with audio)': with audio equals True; target resolution equals 720p -> ""$0.12"" per second of output video (or around 83 seconds for $10)",no,,,,,,pixverse/pixverse-v6,https://replicate.com/pixverse/pixverse-v6,https://replicate.com/pixverse/pixverse-v6,2026-09-13,research,high,,,no,"Resolution param is 'quality' (360p/540p/720p/1080p, default 540p). Duration enum 5/8/10/15."
pixsilent@kie,pixsilent,PixVerse V6 (silent),PixVerse,kie,Kie.ai,yes,yes,,2.16,4.32,720p,0.036,0,15,15,Off,Off,text-to-video / image-to-video (generate_audio_switch=false),7.2 credits/s; $0.005/credit,yes,standing,≈20% below official PixVerse pricing,20,,2.7,pixverse-v6/text-to-video,https://kie.ai/pixverse-v6,https://kie.ai/pixverse-v6,2026-09-13,sheet+research,high,ok,ok,no,Audio off. No 480p; 540p is separate.
pixsilent@runware,pixsilent,PixVerse V6 (silent),PixVerse,runware,Runware,no,yes,,2.7,5.4,720p,0.045,0,15,15,Off,Off,text/image/reference-to-video,USD per output second,no,,,,,,pixverse:1@8,https://runware.ai/docs/models/pixverse-v6,https://runware.ai/docs/models/pixverse-v6,2026-09-13,sheet+research,high,,,no,Audio off.
pixsilent@atlas,pixsilent,PixVerse V6 (silent),PixVerse,atlas,Atlas Cloud,no,yes,,2.7,,720p,0.045,0,,15,Off,off (sound=false),text-to-video / image-to-video / start-end / reference (same price),"'720P · Sound disabled' $0.045 /s (official $0.045, 0%); calculate 15s 720p sound=false: price 0.675",no,,,,,,pixverse/v6/text-to-video,https://www.atlascloud.ai/models/pixverse/v6/text-to-video,https://www.atlascloud.ai/pricing/models,2026-09-13,research,high,,,no,Duration enum 1-15s; quality enum 360p/540p/720p/1080p.
pixsilent@fal,pixsilent,PixVerse V6 (silent),PixVerse,fal,fal.ai,no,yes,,2.7,5.4,720p,0.045,0,,15,Off,"off (generate_audio_switch=false, default)",image-to-video,"For 720p, it will cost $0.045 per second without audio",no,,,,,,fal-ai/pixverse/v6/image-to-video,https://fal.ai/models/fal-ai/pixverse/v6/image-to-video,https://fal.ai/models/fal-ai/pixverse/v6/image-to-video,2026-09-13,research,high,,,no,
pixsilent@wavespeed,pixsilent,PixVerse V6 (silent),PixVerse,wavespeed,WaveSpeedAI,no,yes,,2.7,5.4,720p,0.045,0,,15,Off,off (generate_audio_switch=false),image-to-video,720p | Without Audio $0.045/s; Examples: 10s at 720p (no audio) = $0.45,no,,,,,,pixverse/pixverse-v6/image-to-video,https://wavespeed.ai/models/pixverse/pixverse-v6/image-to-video,https://wavespeed.ai/models/pixverse/pixverse-v6/image-to-video,2026-09-13,research,high,,,no,
pixsilent@replicate,pixsilent,PixVerse V6 (silent),PixVerse,replicate,Replicate,no,yes,,5.4,10.8,720p,0.09,0,,15,Off,off (with audio = False),text-to-video / image-to-video,"billingConfig tier '720p (no audio)': with audio equals False; target resolution equals 720p -> ""$0.09"" per second of output video (or around 11 seconds for $1)",no,,,,,,pixverse/pixverse-v6,https://replicate.com/pixverse/pixverse-v6,https://replicate.com/pixverse/pixverse-v6,2026-09-13,research,high,,,no,
seed15@atlas,seed15,Seedance 1.5 Pro Fast,ByteDance,atlas,Atlas Cloud,yes,yes,0.4985,1.08,,720p,0.018,0,12,12,Check setting,Check setting,text-to-video-fast / image-to-video-fast,Token-based provider estimate,yes,standing,10% vs official,10,,1.2,bytedance/seedance-v1.5-pro/text-to-video-fast,https://www.atlascloud.ai/pricing/models,https://www.atlascloud.ai/pricing/models,2026-09-13,sheet+research,medium,ok,ok,no,480p/720p estimated rates from price table. Audio inclusion not independently verified. Maximum retained from screenshot.
seed15@wavespeed,seed15,Seedance 1.5 Pro Fast,ByteDance,wavespeed,WaveSpeedAI,no,yes,,2.4,3.6,720p,0.04,0,,12,Included,on (generate_audio=true),image-to-video,Effective rates: 720p | true | $0.20 per 5 s | $0.04 per second; 720p | false | $0.10 | $0.02; 1080p | true | $0.30 | $0.06; 1080p | false | $0.15 | $0.03,no,,,,,,bytedance/seedance-v1.5-pro/image-to-video-fast,https://wavespeed.ai/models/bytedance/seedance-v1.5-pro/image-to-video-fast,https://wavespeed.ai/models/bytedance/seedance-v1.5-pro/image-to-video-fast,2026-09-13,research,high,,,no,Audio setting verified: generate_audio toggle halves price when false (formula: base_price*duration/5*(720p?1:1.5)*(generate_audio?1:0.5)). Duration 4-12 s. discount_rate 100.
fast@atlas,fast,Seedance 2.0 Fast,ByteDance,atlas,Atlas Cloud,yes,yes,1.6199,3.486,,720p,0.0581,0,15,15,Included,Included,text-to-video / image-to-video / reference-to-video (same price),$2.688/M output tokens; estimated $/s,yes,standing,70% off Atlas list; 52% below official,70,,11.62,bytedance/seedance-2.0-fast/text-to-video,https://www.atlascloud.ai/models/explore/seedance-2-lowest-price,https://www.atlascloud.ai/models/explore/seedance-2-lowest-price,2026-09-13,sheet+research,medium,ok,ok,no,"Sep 13: advertised 720p $0.0581/s, unchanged. Reference column M is Atlas list, not official; official comparator $0.1209/s. Permanent cut, no dated expiry. Exact token quote may vary."
fast@openrouter,fast,Seedance 2.0 Fast,ByteDance,openrouter,OpenRouter,no,yes,2.4212,5.4432,,720p,0.0907,0,,15,Included,on (native audio; same price as no audio),text-to-video / image-to-video (first+last frame) / reference-to-video,"Video (with audio): $0.09072/second, tier 720p = $0.09072; Video Tokens (with audio) $4.20/M tokens. FAQ: 'Seedance 2.0 Fast costs from $0.04035/second at 480p to $0.8165/second at 4K for Video (with audio)... $4.20/M tokens'.",no,,,,,,bytedance/seedance-2.0-fast,https://openrouter.ai/bytedance/seedance-2.0-fast,https://openrouter.ai/bytedance/seedance-2.0-fast,2026-09-13,research,high,,,no,Provider Seed. Durations 4-15 s. 480p = $0.0403536/s ($2.42/min). With-video-input SKU $0.05346/s at 720p.
fast@kie,fast,Seedance 2.0 Fast,ByteDance,kie,Kie.ai,no,yes,3.51,7.44,,720p,0.124,0,15,15,Included,Included,text/image/reference-to-video (no video input),480p 11.7 and 720p 24.8 credits/s; $0.005/credit,yes,sale,Limited-time reduced price,,2026-10-07T06:00:00Z,,bytedance/seedance-2-fast,https://kie.ai/seedance-2-0,https://kie.ai/seedance-2-0,2026-09-13,sheet+research,high,,,no,Sep 13 verification attempt: public page did not expose numerical rates. Sep 12 price and expiry retained as historical; recheck live quote before relying on them.
fast@runware,fast,Seedance 2.0 Fast,ByteDance,runware,Runware,no,yes,3.6,7.8,,720p,0.13,0,15,15,Included,Included,text/image/reference-to-video,USD per output second,no,,,,,,bytedance:seedance@2.0-fast,https://runware.ai/docs/models/bytedance-seedance-2-0-fast,https://runware.ai/docs/models/bytedance-seedance-2-0-fast,2026-09-13,sheet+research,high,,,no,Published approximate rates; example costs vary slightly with output dimensions.
fast@replicate,fast,Seedance 2.0 Fast,ByteDance,replicate,Replicate,no,yes,4.2,9,,720p,0.15,0,,15,Included,included (generate_audio default true; price not audio-dependent),text/image/reference input (non_video_in variant),"billingConfig tier: model variant equals non_video_in; target resolution equals 720p -> ""$0.15"" per second of output video (or around 66 seconds for $10)",no,,,,,,bytedance/seedance-2.0-fast,https://replicate.com/bytedance/seedance-2.0-fast,https://replicate.com/bytedance/seedance-2.0-fast,2026-09-13,research,high,,,no,"video_in variant: $0.17/s 720p, $0.08/s 480p. Resolutions 480p/720p only; duration -1 to 15."
fast@piapi,fast,Seedance 2.0 Fast,ByteDance,piapi,PiAPI,no,yes,4.8,9.6,,720p,0.16,0,15,15,Included,Included,text-to-video / first-last-frame / omni-reference,USD per output second,no,,,,,,"model=""seedance"", task_type=""seedance-2-fast""",https://piapi.ai/seedance-2-0,https://piapi.ai/seedance-2-0,2026-09-13,sheet+research,high,,,no,Fast tier. Optional extras excluded.
fast@wavespeed,fast,Seedance 2.0 Fast,ByteDance,wavespeed,WaveSpeedAI,no,yes,6,12,30,720p,0.2,0,,15,Included,on (generate_audio default true; no price effect),image-to-video,720p | 5 s | $1.00; 720p | 10 s | $2.00; 720p | 15 s | $3.00. Base rate (480p): $0.50 per 5 seconds; 720p: 2x the 480p price; 1080p: 5x; 4k: 10x,no,,,,,,bytedance/seedance-2.0-fast/image-to-video,https://wavespeed.ai/models/bytedance/seedance-2.0-fast/image-to-video,https://wavespeed.ai/models/bytedance/seedance-2.0-fast/image-to-video,2026-09-13,research,high,,,no,"Page JSON: base_price 500000, discount_rate 100. /pricing page headline '$0.10/second' is the 480p rate. Duration 4-15 s. 1080p $0.50/s = $30.00/min; 4k $1.00/s = $60.00/min."
fast@fal,fast,Seedance 2.0 Fast,ByteDance,fal,fal.ai,no,yes,6.75,14.514,,720p,0.2419,0,15,15,Included,Included,image-to-video,"$0.0112/1,000 tokens; provider $/s estimate",no,,,,,,bytedance/seedance-2.0/fast/image-to-video,https://fal.ai/models/bytedance/seedance-2.0/fast/image-to-video,https://fal.ai/models/bytedance/seedance-2.0/fast/image-to-video,2026-09-13,sheet+research,medium,,,no,480p supported but a resolution-specific charge was not verified. Approximate 720p rate; no video reference.
mini@atlas,mini,Seedance 2.0 Mini,ByteDance,atlas,Atlas Cloud,yes,yes,0.675,1.452,,720p,0.0242,0,15,15,Included,Included,text-to-video / image-to-video / reference-to-video (same price),$1.12/M output tokens; estimated $/s,yes,standing,80% off Atlas list; 68% below official,80,,7.26,bytedance/seedance-2.0-mini/text-to-video,https://www.atlascloud.ai/models/explore/seedance-2-lowest-price,https://www.atlascloud.ai/models/explore/seedance-2-lowest-price,2026-09-13,sheet+research,medium,ok,ok,no,"Sep 13: advertised 720p $0.0242/s (~$0.363/15s), unchanged. Reference column M is Atlas list, not official; official comparator $0.0756/s. Permanent cut, no dated expiry. No video input; exact token quote and final charge may vary."
mini@kie,mini,Seedance 2.0 Mini,ByteDance,kie,Kie.ai,no,yes,1.14,2.46,,720p,0.041,0,15,15,Included,Included,text/image/reference-to-video (no video input),480p 3.8 and 720p 8.2 credits/s; $0.005/credit,yes,sale,Limited-time reduced price,,2026-10-07T06:00:00Z,,bytedance/seedance-2-mini,https://kie.ai/seedance-2-0-mini,https://kie.ai/seedance-2-0-mini,2026-09-13,sheet+research,high,,,no,Sep 13 verification attempt: public page did not expose numerical rates. Sep 12 price and expiry retained as historical; recheck live quote before relying on them. No video input pricing; video-input rates differ.
mini@openrouter,mini,Seedance 2.0 Mini,ByteDance,openrouter,OpenRouter,no,yes,2.0177,4.536,,720p,0.0756,0,,15,Included,on (native audio; same price as no audio),text-to-video / image-to-video (first+last frame) / reference-to-video,"Video (with audio): $0.0756/second, tier 720p = $0.0756; Video Tokens (with audio) $3.50/M tokens. FAQ: 'Seedance 2.0 Mini costs from $0.03363/second at 480p to $0.6804/second at 4K for Video (with audio)... $3.50/M tokens'.",no,,,,,,bytedance/seedance-2.0-mini,https://openrouter.ai/bytedance/seedance-2.0-mini,https://openrouter.ai/bytedance/seedance-2.0-mini,2026-09-13,research,high,,,no,"Provider Seed (BytePlus). Durations 4-15 s. 480p = $0.033628/s ($2.02/min). OpenRouter's endpoint also accepts video input at a lower rate ($0.04536/s 720p, $2.10/M tokens) - differs from tracked spec 'no video input'."
mini@runware,mini,Seedance 2.0 Mini,ByteDance,runware,Runware,no,yes,2.16,4.86,,720p,0.081,0,15,15,Included,Included,text/image/reference-to-video,USD per output second,no,,,,,,bytedance:seedance@2.0-mini,https://runware.ai/docs/models/bytedance-seedance-2-0-mini,https://runware.ai/docs/models/bytedance-seedance-2-0-mini,2026-09-13,sheet+research,high,,,no,Published per-second estimates for text/image input. Video-to-video uses another rate.
mini@replicate,mini,Seedance 2.0 Mini,ByteDance,replicate,Replicate,no,yes,2.4,5.4,,720p,0.09,0,,15,Included,included (generate_audio default true; price not audio-dependent),text/image/reference input (non_video_in variant),"billingConfig tier: model variant equals non_video_in; target resolution equals 720p -> ""$0.09"" per second of output video (or around 11 seconds for $1)",no,,,,,,bytedance/seedance-2.0-mini,https://replicate.com/bytedance/seedance-2.0-mini,https://replicate.com/bytedance/seedance-2.0-mini,2026-09-13,research,high,,,no,"video_in variant: $0.11/s 720p, $0.05/s 480p (excluded from tracked definition)."
mini@wavespeed,mini,Seedance 2.0 Mini,ByteDance,wavespeed,WaveSpeedAI,no,yes,3.6,7.2,18,720p,0.12,0,15,15,Included,Included,image-to-video,USD per output second,no,,,,,,bytedance/seedance-2.0-mini/image-to-video,https://wavespeed.ai/models/bytedance/seedance-2.0-mini/image-to-video,https://wavespeed.ai/models/bytedance/seedance-2.0-mini/image-to-video,2026-09-13,sheet+research,high,,,no,5s costs $0.30 at 480p or $0.60 at 720p. No video-reference input.
mini@piapi,mini,Seedance 2.0 Mini,ByteDance,piapi,PiAPI,no,yes,4.2,8.4,,720p,0.14,0,15,15,Included,Included,"text-to-video / first-last-frame / omni-reference (images, videos, audio refs)",USD per output second,no,,,,,,"model=""seedance"", task_type=""seedance-2-mini""",https://piapi.ai/seedance-2-0,https://piapi.ai/seedance-2-0,2026-09-13,sheet+research,high,,,no,Mini tier. Optional less-restriction tier and other extras excluded.
mini@fal,mini,Seedance 2.0 Mini,ByteDance,fal,fal.ai,no,yes,4.326,9.282,,720p,0.1547,0,15,15,Included,Included,image-to-video,"$0.007/1,000 tokens; provider $/s estimate",no,,,,,,bytedance/seedance-2.0/mini/image-to-video,https://fal.ai/models/bytedance/seedance-2.0/mini/reference-to-video,https://fal.ai/models/bytedance/seedance-2.0/mini/reference-to-video,2026-09-13,sheet+research,medium,,,no,No video reference. Approximate published per-second equivalents; actual cost follows output pixels × seconds × 24 / 1024 × token price.
s25@runware,s25,Seedance 2.5,ByteDance,runware,Runware,yes,yes,6.15,13.824,36.84,720p,0.2304,0,30,30,Included,Included,text/image-to-video,$10.70/M tokens; published USD/s estimates,no,,,,,,bytedance:seedance@2.5,https://runware.ai/seedance-2-5,https://runware.ai/seedance-2-5,2026-09-13,sheet+research,medium,ok,ok,no,"Same underlying token rate as OpenRouter; tiny headline difference may be rounding/frame area, not a material price advantage. T2V/I2V, native audio, no video input. Up to 30s."
s25@openrouter,s25,Seedance 2.5,ByteDance,openrouter,OpenRouter,no,yes,6.168,13.866,31.2012,720p,0.2311,0,30,30,Included,Included,"text-to-video / image-to-video (first+last frame), text+image+audio reference input",$10.70/M tokens; published USD/s estimates,no,,,,,,bytedance/seedance-2.5,https://openrouter.ai/compare/heygen/avatar-iv/bytedance/seedance-2.5,https://openrouter.ai/compare/heygen/avatar-iv/bytedance/seedance-2.5,2026-09-13,sheet+research,medium,,,no,Near-tie with Runware. Exact 480p/720p mapping from official comparison; native audio same rate. 4-30s. No video input. No dated discount.
s25@replicate,s25,Seedance 2.5,ByteDance,replicate,Replicate,no,yes,6.168,13.872,,720p,0.2312,0,30,30,Included,Included,text/image input (non_video_in variant),"billingConfig tier: model variant equals non_video_in; target resolution equals 720p -> ""$0.2312"" per second of output video (or around 43 seconds for $10)",no,,,,,,bytedance/seedance-2.5,https://replicate.com/bytedance/seedance-2.5,https://replicate.com/bytedance/seedance-2.5,2026-09-13,research,high,,,no,"Exact Seedance 2.5 available, with native audio and 4-30s; official model/API pages did not expose numerical prices. Not ranked."
s25@atlas,s25,Seedance 2.5,ByteDance,atlas,Atlas Cloud,no,yes,8.3944,18.0524,,720p,0.3009,0,30,30,Included,Included,,Free API estimate for 30s; normalized to USD/s,yes,standing,20% off Atlas list,20,,22.5655,bytedance/seedance-2.5/text-to-video,https://api.atlascloud.ai/api/v1/model/calculate,https://api.atlascloud.ai/api/v1/model/calculate,2026-09-13,manual-sheet,medium,,,no,"Sep 13 11:50 a.m. EDT: /calculate, text-to-video, 16:9, native audio, no video references. 30s: 480p $4.197176; 720p $9.026199. 15s 720p $4.519359. Discount 80 means 80% paid (20% off). Token estimate; final billing may vary."
s25@kie,s25,Seedance 2.5,ByteDance,kie,Kie.ai,no,yes,8.4,18.9,34.2,720p,0.315,0,30,30,Included,Included,text/image/reference-to-video (no video input),480p 28 and 720p 63 credits/s; $0.005/credit,no,,,,,,bytedance/seedance-2-5,https://kie.ai/seedance-2-5,https://kie.ai/seedance-2-5,2026-09-13,sheet+research,high,,,no,"Live playground pricing verified Sep 13: no video input 480p 28 credits/s ($0.14), 720p 63 ($0.315). Native audio. 28% offer through Oct 17 06:00 UTC applies only to 1080p. Top-up bonus excluded; beta rates may change."
s25@wavespeed,s25,Seedance 2.5,ByteDance,wavespeed,WaveSpeedAI,no,yes,9.72,19.44,48.6,720p,0.324,0,30,30,Included,Included,image-to-video,USD per output second,yes,standing,10% current discount,10,,21.6,bytedance/seedance-2.5/image-to-video,https://wavespeed.ai/models/bytedance/seedance-2.5/image-to-video,https://wavespeed.ai/models/bytedance/seedance-2.5/image-to-video,2026-09-13,sheet+research,high,,,no,"Live playground verified Sep 13: 5s 480p $0.81; 5s 720p $1.62, native audio on. 10% below README rates of $0.18/$0.36 per second. No published expiry."
s25@piapi,s25,Seedance 2.5,ByteDance,piapi,PiAPI,no,yes,9,21,48,720p,0.35,0,30,30,Included,Included,text-to-video with optional image / video / audio references (single task type),"USD per output second, standard tier",no,,,,,,"model=""seedance"", task_type=""seedance-2.5""",https://app.piapi.ai/seedance-2-5,https://app.piapi.ai/seedance-2-5,2026-09-13,sheet+research,high,,,no,"Standard tier, native audio; no video references. Less Restriction variant excluded ($0.165/s 480p, $0.385/s 720p). No published sale expiry."
